RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y CorneaX CorneaY CorneaZ
1 921.628335 699.239399 922.946756 707.963340 939.421337 702.243452 -12.520373 25.246269 456.240344
1 921.615358 699.242499 922.970518 707.946353 939.434162 702.192252 -12.515662 25.242758 456.236430
1 921.672672 699.223262 922.946756 707.963340 939.459912 702.089453 -12.519957 25.240299 456.236763
1 921.658781 699.230671 922.946756 707.963340 939.446922 702.037462 -12.517883 25.234472 456.242131
1 921.631535 699.245204 922.946756 707.963340 939.421440 701.935479 -12.519682 25.228151 456.252609
2 943.262396 700.828221 937.311794 708.676208 953.968023 702.886036 -10.365441 25.323623 455.630806
2 942.670452 700.818695 936.622548 708.676448 953.506258 702.932419 -10.513816 25.345381 455.617684
2 942.517777 700.969525 936.481633 708.740993 953.467693 703.086415 -10.510586 25.350869 455.612850
2 942.336589 701.022443 936.455713 708.751002 953.467693 703.086415 -10.522667 25.356708 455.595183
2 942.294861 701.032769 936.487608 708.822283 953.149267 703.268522 -10.512523 25.361244 455.558316
2 942.180554 700.537515 936.372503 708.348313 953.217651 702.752683 -10.525533 25.308275 455.573638
2 942.403875 701.191324 936.455663 708.890583 953.300878 703.169962 -10.514862 25.367123 455.641965
2 942.388380 701.125077 936.430744 708.903375 953.318004 703.270740 -10.516886 25.371164 455.639924
2 942.357511 700.993102 936.381101 708.928858 953.352121 703.471511 -10.534973 25.387867 455.672963
2 942.524481 700.459289 936.559189 708.375432 953.554393 702.726083 -10.505951 25.329706 455.924689
2 942.396429 700.700440 936.572908 708.417532 953.467835 702.585814 -10.501540 25.321419 455.934453
2 942.370115 701.009278 936.452177 708.725003 953.345289 702.799660 -10.501383 25.344369 455.866222
2 942.435193 700.882145 936.564468 708.794521 953.331244 702.995443 -10.500006 25.353272 455.789709
2 942.452521 701.136143 936.455663 708.890583 953.467612 703.372459 -10.518158 25.402364 455.789179
2 942.389606 701.066880 936.455663 708.890583 953.300831 703.336762 -10.511575 25.396906 455.805658
2 942.301056 701.059198 936.455663 708.890583 953.352121 703.471511 -10.514598 25.404398 455.799534
2 942.510549 701.154847 936.586112 708.990366 953.467551 703.587018 -10.491802 25.411779 455.725017
2 942.568283 701.259921 936.586112 708.990366 953.467551 703.587018 -10.493489 25.413385 455.729874
