RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y GazeX GazeY GazeZ
1 921.704412 699.176894 923.018228 707.912245 939.459912 702.089453 -116.254375 -88.695887 -154.157391
1 921.628335 699.239399 922.946756 707.963340 939.421337 702.243452 -115.498614 -88.876528 -154.125095
1 921.615358 699.242499 922.970518 707.946353 939.434162 702.192252 -114.784460 -87.940859 -154.503680
1 921.589304 699.248725 923.018228 707.912245 939.459912 702.089453 -114.536176 -87.777984 -154.575240
1 921.658781 699.230671 922.946756 707.963340 939.446922 702.037462 -114.120422 -87.641305 -154.644759
1 921.631535 699.245204 922.946756 707.963340 939.421440 701.935479 -113.939207 -87.583799 -154.674295
2 943.262396 700.828221 937.311794 708.676208 953.968023 702.886036 21.341940 -63.543550 -169.739144
2 942.754788 700.859217 936.689143 708.809897 953.634555 702.836068 34.926946 -66.958027 -169.096706
2 942.670452 700.818695 936.622548 708.676448 953.506258 702.932419 34.817302 -66.783316 -169.156304
2 942.635829 700.825414 936.533574 708.720936 953.506258 702.932419 30.921712 -66.056116 -169.247373
2 942.517777 700.969525 936.481633 708.740993 953.467693 703.086415 28.875999 -66.125006 -169.128515
2 942.388380 701.125077 936.430744 708.903375 953.318004 703.270740 19.635289 -53.636608 -173.324550
2 942.357511 700.993102 936.381101 708.928858 953.352121 703.471511 19.732812 -53.634042 -173.329951
2 942.524481 700.459289 936.559189 708.375432 953.554393 702.726083 29.195927 -71.114204 -167.298252
2 942.632915 700.411372 936.564631 708.337331 953.583266 702.701320 29.159131 -71.393406 -167.193331
2 942.533083 700.844927 936.538515 708.803895 953.377318 703.026161 30.158959 -70.406798 -167.603793
2 942.562709 700.879831 936.466483 708.775071 953.467693 703.086415 30.979249 -69.962890 -167.805383
2 942.452521 701.136143 936.455663 708.890583 953.467612 703.372459 32.581060 -58.927056 -171.959249
2 942.800017 701.163466 936.705751 709.099165 953.583047 703.471447 32.018573 -65.997923 -169.318962
2 942.852725 701.365125 936.911461 709.165880 953.767716 703.586935 26.410296 -60.832733 -170.972894
2 942.939325 701.394899 936.999419 709.164347 953.876914 703.450340 28.040933 -63.439635 -170.083371
2 943.043014 701.308730 936.954581 709.188127 953.907218 703.495853 28.043925 -63.439475 -170.083567
2 942.983766 701.970276 936.885785 709.890831 953.967684 704.087485 23.931993 -56.895672 -172.315578
2 943.225520 702.247634 937.089067 710.033546 953.967684 704.087485 27.610968 -62.655104 -170.353841
2 943.121308 702.092480 937.089067 710.033546 953.967684 704.087485 27.711466 -61.080536 -170.940660
2 943.129904 702.121913 937.001110 710.032075 953.967627 704.287729 27.205568 -62.392938 -170.432277
2 943.103631 702.098088 937.001110 710.032075 953.967646 704.221154 27.204391 -62.391344 -170.432812
2 942.197593 702.913467 936.199228 710.745891 952.966844 705.088986 22.613041 -51.494896 -174.252427
2 942.102676 703.095819 935.998089 711.036745 952.966786 705.289232 26.439498 -62.689113 -170.287789
2 942.151494 703.140021 936.027998 711.036235 952.966786 705.289232 26.984708 -61.572901 -170.725422
2 942.048522 703.161616 936.082337 711.059445 952.875788 705.453059 27.793393 -62.936461 -170.258131
2 942.098183 703.281835 936.082342 711.045264 952.906042 705.398592 27.809192 -62.259104 -170.509320
2 942.151639 703.335281 936.088033 711.079504 952.936612 705.343556 27.322595 -61.588086 -170.735231
2 942.587996 703.004954 936.486889 710.824894 953.467123 705.088845 26.879815 -66.481756 -168.905475
2 942.980253 703.184220 936.946395 711.140827 953.912721 705.671191 29.868111 -65.100679 -169.552571
2 943.005165 703.253324 936.998702 711.166964 953.876268 705.725914 29.128554 -64.132356 -169.876870
2 943.212000 704.142346 937.088348 712.036182 953.967057 706.290185 29.487889 -72.167745 -166.922010
2 943.108479 704.016124 937.132810 711.947249 953.967057 706.290185 24.131232 -70.251572 -167.386032
2 943.099879 704.073295 937.146182 711.970438 953.967057 706.290185 24.186127 -67.928954 -168.247378
2 943.130795 704.110299 937.196266 712.000430 953.967057 706.290185 23.784894 -66.394815 -168.796344
2 943.647360 703.833529 937.669753 711.694025 954.603843 706.180773 33.663383 -70.743425 -167.639290
2 943.681086 703.503716 937.622270 711.279394 954.582966 705.704691 26.082045 -67.898030 -168.345359
2 943.601035 703.471969 937.634030 711.241571 954.544690 705.666389 24.902399 -67.558864 -168.416924
3 947.187369 701.303902 936.325142 708.990458 953.078485 703.420325 126.547125 -66.438745 -173.471080
3 947.332416 701.237267 936.325142 708.990458 953.078485 703.420325 126.848732 -67.010520 -173.273422
3 947.259432 701.374852 936.377753 709.054823 953.167386 703.587102 126.946689 -65.563952 -173.812794
3 947.339499 701.306747 936.377753 709.054823 953.167386 703.587102 127.695830 -64.595470 -174.205109
3 947.317777 701.337991 936.403698 709.069633 953.167386 703.587102 127.691129 -64.724086 -174.157336
3 947.445509 701.471012 936.455588 709.099253 953.078389 703.753928 127.267316 -65.247514 -173.944440
3 947.410802 701.429072 936.533423 709.143683 953.267384 703.787316 122.608316 -68.000885 -172.713642
